Time,bbox_labels
23:59:00,['banana' 'broccoli' 'banana' 'banana']
23:59:01,['banana' 'banana' 'broccoli' 'banana']
23:59:02,['banana' 'broccoli' 'banana' 'banana' 'banana']
23:59:03,['banana' 'broccoli' 'banana']
23:59:05,['banana' 'broccoli' 'banana' 'banana' 'banana']
23:59:06,['banana' 'broccoli' 'banana' 'banana']
23:59:07,['banana' 'broccoli' 'banana']
23:59:08,['broccoli' 'banana' 'banana' 'banana']
23:59:09,['broccoli' 'banana' 'banana' 'banana']
23:59:10,['banana' 'broccoli' 'banana' 'banana']
23:59:11,['banana' 'broccoli' 'banana' 'banana' 'banana']
23:59:12,['banana' 'broccoli' 'banana']
23:59:13,['banana' 'broccoli' 'banana' 'banana' 'apple']
23:59:14,['banana' 'broccoli' 'banana' 'banana']
23:59:15,['banana' 'broccoli' 'banana' 'banana']
23:59:16,['banana' 'banana' 'broccoli' 'apple']
23:59:17,['banana' 'broccoli' 'apple' 'banana' 'banana']
23:59:18,['banana' 'broccoli' 'banana']
