Time,bbox_labels
23:52:56,['banana' 'banana' 'broccoli' 'banana']
23:52:57,['banana' 'broccoli' 'banana' 'banana']
23:52:59,['banana' 'broccoli' 'banana' 'banana' 'banana']
23:53:00,['banana' 'broccoli' 'banana']
23:53:01,['banana' 'broccoli' 'banana' 'banana']
23:53:02,['banana' 'broccoli' 'banana' 'banana']
23:53:03,['broccoli' 'banana' 'banana' 'banana']
23:53:04,['banana' 'broccoli' 'banana' 'banana' 'banana']
23:53:05,['broccoli' 'banana' 'banana' 'banana']
23:53:06,['banana' 'broccoli' 'banana' 'apple']
23:53:07,['banana' 'broccoli' 'banana' 'banana']
23:53:08,['banana' 'broccoli' 'banana' 'banana' 'apple']
23:53:09,['banana' 'banana' 'broccoli' 'banana']
23:53:10,['banana' 'broccoli' 'banana' 'banana']
23:53:11,['banana' 'broccoli' 'banana' 'apple' 'banana' 'banana']
23:53:12,['banana' 'broccoli' 'banana' 'apple' 'banana']
23:53:13,['banana' 'broccoli' 'banana' 'banana' 'apple']
